gameId,finishedAt,createdAt,sequence,numBlocks,condition,name,playerCount,selectionDuration,rounds,feedbackDuration,numTargets,repsPerBlock,partial,scale,chatEnabled,gameLength
66vT9mE6yqptQDdXG,2021-06-29T15:47:02Z,2021-06-29T15:21:30Z,"red,yellow,white,purple",4,coopCartel,langCollabPilot1,3,180,6,5,6,12,true,0.15,true,25.8666666666667
6cWN32G7kFqz6XLFe,2021-06-30T18:57:45Z,2021-06-30T18:48:34Z,"purple,red,yellow,white",4,competCartel,langCompetPilot3,3,180,6,5,6,12,true,0.70001,true,10.1166666666667
6o4WJuZBT3QSNRQRq,2021-06-29T15:52:36Z,2021-06-29T15:19:38Z,"purple,yellow,red,white",4,coopCartel,langCollabPilot1,3,180,6,5,6,12,true,0.15,true,33.3333333333333
8B8kmeMWWri8xpL4k,2021-06-29T16:35:20Z,2021-06-29T15:22:12Z,"purple,red,white,yellow",4,coopCartel,langCollabPilot1,3,180,6,5,6,12,true,0.15,true,73.3166666666667
8vp4iEWF9Subwe4jT,2021-06-30T18:58:52Z,2021-06-30T18:50:38Z,"white,red,purple,yellow",4,competCartel,langCompetPilot3,3,180,6,5,6,12,true,0.70001,true,9.53333333333333
Bfdr3Nye34WeYuodA,2021-07-02T17:16:06Z,2021-07-02T17:07:22Z,"red,white,yellow,purple",4,coopCartel,nonlangCoopPilot3,3,180,6,5,6,12,true,0.5001,false,9.06666666666667
bX7uRAJmFEYZuB7Kn,2021-07-02T21:01:27Z,2021-07-02T20:50:27Z,"purple,yellow,white,red",4,competCartel,nonlangCompetPilot3,3,180,6,5,6,12,true,1.4,false,13.5166666666667
cmcBZeDvYQ8rAXmYS,2021-06-30T18:12:16Z,2021-06-30T17:47:30Z,"purple,yellow,white,red",4,coopCartel,langCollabPilot2,3,180,6,5,6,12,true,0.3,true,47.6833333333333
dTQ4ShjHCzgL6QoGk,2021-06-30T17:58:53Z,2021-06-30T17:16:44Z,"purple,white,yellow,red",4,coopCartel,langCollabPilot2,3,180,6,5,6,12,true,0.3,true,45.3833333333333
faYzLxN4fYDihLiSp,2021-07-02T17:13:47Z,2021-07-02T17:05:57Z,"purple,yellow,red,white",4,coopCartel,nonlangCoopPilot3,3,180,6,5,6,12,true,0.5001,false,9.75
fFT83z8T8Stu29BHd,2021-07-02T21:11:36Z,2021-07-02T21:02:27Z,"red,yellow,white,purple",4,competCartel,nonlangCompetPilot3,3,180,6,5,6,12,true,1.4,false,13.8833333333333
FmBxZWicDppYMujb8,2021-07-02T21:14:08Z,2021-07-02T21:06:42Z,"red,purple,white,yellow",4,competCartel,nonlangCompetPilot3,3,180,6,5,6,12,true,1.4,false,10.7333333333333
g2oSTg8tWPsLs8oez,2021-07-02T20:56:21Z,2021-07-02T20:47:23Z,"red,white,yellow,purple",4,competCartel,nonlangCompetPilot3,3,180,6,5,6,12,true,1.4,false,9.9
iq5rfhiAyYcCuotiP,2021-06-29T15:42:49Z,2021-06-29T15:18:39Z,"yellow,white,red,purple",4,coopCartel,langCollabPilot1,3,180,6,5,6,12,true,0.15,true,25.4833333333333
jwxQ8dDDmaHZHHAua,2021-06-30T19:01:56Z,2021-06-30T18:54:14Z,"red,white,purple,yellow",4,competCartel,langCompetPilot3,3,180,6,5,6,12,true,0.70001,true,9.06666666666667
K3BiGhNQsyeoGmKhr,2021-06-29T16:03:12Z,2021-06-29T15:57:50Z,"yellow,white,red,purple",4,competCartel,langCompetPilot1,3,180,6,5,6,12,true,0.5,true,15.2166666666667
KGzHLWpxZmZgGxzm5,2021-06-29T15:43:47Z,2021-06-29T15:20:39Z,"purple,yellow,red,white",4,coopCartel,langCollabPilot1,3,180,6,5,6,12,true,0.15,true,23.2
NbGRLF6NaB5p3vRrL,2021-07-02T21:02:34Z,2021-07-02T20:54:01Z,"red,purple,white,yellow",4,competCartel,nonlangCompetPilot3,3,180,6,5,6,12,true,1.4,false,9.58333333333333
oSkTdT3gtJ3bYJjfy,2021-06-30T19:20:39Z,2021-06-30T18:56:03Z,"white,red,yellow,purple",4,competCartel,langCompetPilot3,3,180,6,5,6,12,true,0.70001,true,25.6
