roundID,index,stageIds,gameId,createdAt,blinded,label,location,utility,utility_image,repNum,blockNum,trialNum,numPlayers
HMW5PZnQmFwJeD4Xz,0,"PGqZv52YuSfN6Sqeq,wgfK9QYP7sQhTHMSf",gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,6tfvgNd3nKd8e8LPT,purple_10,/experiment/purple_similar/image_07320.jpg,9,/experiment/prop_bars/9.png,0,0,0,3
HMW5PZnQmFwJeD4Xz,0,"PGqZv52YuSfN6Sqeq,wgfK9QYP7sQhTHMSf",gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,ab6Htv2wyBH9h4u9G,purple_11,/experiment/purple_similar/image_07517.jpg,7,/experiment/prop_bars/7.png,0,0,0,3
HMW5PZnQmFwJeD4Xz,0,"PGqZv52YuSfN6Sqeq,wgfK9QYP7sQhTHMSf",gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,uxoyB5wDdjQuWKiq3,purple_12,/experiment/purple_similar/image_07752.jpg,3,/experiment/prop_bars/3.png,0,0,0,3
HMW5PZnQmFwJeD4Xz,0,"PGqZv52YuSfN6Sqeq,wgfK9QYP7sQhTHMSf",gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,uxoyB5wDdjQuWKiq3,purple_3,/experiment/purple_similar/image_03085.jpg,4,/experiment/prop_bars/4.png,0,0,0,3
HMW5PZnQmFwJeD4Xz,0,"PGqZv52YuSfN6Sqeq,wgfK9QYP7sQhTHMSf",gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,ab6Htv2wyBH9h4u9G,purple_6,/experiment/purple_similar/image_04700.jpg,12,/experiment/prop_bars/12.png,0,0,0,3
HMW5PZnQmFwJeD4Xz,0,"PGqZv52YuSfN6Sqeq,wgfK9QYP7sQhTHMSf",gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,6tfvgNd3nKd8e8LPT,purple_9,/experiment/purple_similar/image_06714.jpg,2,/experiment/prop_bars/2.png,0,0,0,3
kgFtZjKhH6iE5G37L,1,"G5d94NthbTuRHumtF,KybCzoWipZjPnhxpZ",gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,6tfvgNd3nKd8e8LPT,purple_1,/experiment/purple_similar/image_00450.jpg,12,/experiment/prop_bars/12.png,1,0,1,3
kgFtZjKhH6iE5G37L,1,"G5d94NthbTuRHumtF,KybCzoWipZjPnhxpZ",gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,ab6Htv2wyBH9h4u9G,purple_10,/experiment/purple_similar/image_07320.jpg,6,/experiment/prop_bars/6.png,1,0,1,3
kgFtZjKhH6iE5G37L,1,"G5d94NthbTuRHumtF,KybCzoWipZjPnhxpZ",gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,ab6Htv2wyBH9h4u9G,purple_11,/experiment/purple_similar/image_07517.jpg,2,/experiment/prop_bars/2.png,1,0,1,3
kgFtZjKhH6iE5G37L,1,"G5d94NthbTuRHumtF,KybCzoWipZjPnhxpZ",gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,6tfvgNd3nKd8e8LPT,purple_2,/experiment/purple_similar/image_01664.jpg,3,/experiment/prop_bars/3.png,1,0,1,3
kgFtZjKhH6iE5G37L,1,"G5d94NthbTuRHumtF,KybCzoWipZjPnhxpZ",gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,uxoyB5wDdjQuWKiq3,purple_5,/experiment/purple_similar/image_04335.jpg,5,/experiment/prop_bars/5.png,1,0,1,3
kgFtZjKhH6iE5G37L,1,"G5d94NthbTuRHumtF,KybCzoWipZjPnhxpZ",gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,uxoyB5wDdjQuWKiq3,purple_9,/experiment/purple_similar/image_06714.jpg,7,/experiment/prop_bars/7.png,1,0,1,3
TLCGuoCNDreCfRQ5X,2,"GDnw9TurfZzj89oaD,NLYtwvzwizNTvfREZ",gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,uxoyB5wDdjQuWKiq3,purple_1,/experiment/purple_similar/image_00450.jpg,12,/experiment/prop_bars/12.png,2,0,2,3
TLCGuoCNDreCfRQ5X,2,"GDnw9TurfZzj89oaD,NLYtwvzwizNTvfREZ",gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,ab6Htv2wyBH9h4u9G,purple_11,/experiment/purple_similar/image_07517.jpg,3,/experiment/prop_bars/3.png,2,0,2,3
TLCGuoCNDreCfRQ5X,2,"GDnw9TurfZzj89oaD,NLYtwvzwizNTvfREZ",gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,6tfvgNd3nKd8e8LPT,purple_12,/experiment/purple_similar/image_07752.jpg,7,/experiment/prop_bars/7.png,2,0,2,3
TLCGuoCNDreCfRQ5X,2,"GDnw9TurfZzj89oaD,NLYtwvzwizNTvfREZ",gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,6tfvgNd3nKd8e8LPT,purple_4,/experiment/purple_similar/image_04133.jpg,6,/experiment/prop_bars/6.png,2,0,2,3
TLCGuoCNDreCfRQ5X,2,"GDnw9TurfZzj89oaD,NLYtwvzwizNTvfREZ",gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,ab6Htv2wyBH9h4u9G,purple_6,/experiment/purple_similar/image_04700.jpg,2,/experiment/prop_bars/2.png,2,0,2,3
TLCGuoCNDreCfRQ5X,2,"GDnw9TurfZzj89oaD,NLYtwvzwizNTvfREZ",gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,uxoyB5wDdjQuWKiq3,purple_7,/experiment/purple_similar/image_05355.jpg,5,/experiment/prop_bars/5.png,2,0,2,3
5sRLrMDBM39Xe4u8Y,3,"Kshxa5s5xgKDHrPsu,kDDYMcWnqxKaeCct4",gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,ab6Htv2wyBH9h4u9G,purple_1,/experiment/purple_similar/image_00450.jpg,4,/experiment/prop_bars/4.png,3,0,3,3
5sRLrMDBM39Xe4u8Y,3,"Kshxa5s5xgKDHrPsu,kDDYMcWnqxKaeCct4",gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,ab6Htv2wyBH9h4u9G,purple_10,/experiment/purple_similar/image_07320.jpg,1,/experiment/prop_bars/1.png,3,0,3,3
5sRLrMDBM39Xe4u8Y,3,"Kshxa5s5xgKDHrPsu,kDDYMcWnqxKaeCct4",gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,uxoyB5wDdjQuWKiq3,purple_11,/experiment/purple_similar/image_07517.jpg,10,/experiment/prop_bars/10.png,3,0,3,3
5sRLrMDBM39Xe4u8Y,3,"Kshxa5s5xgKDHrPsu,kDDYMcWnqxKaeCct4",gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,uxoyB5wDdjQuWKiq3,purple_3,/experiment/purple_similar/image_03085.jpg,9,/experiment/prop_bars/9.png,3,0,3,3
5sRLrMDBM39Xe4u8Y,3,"Kshxa5s5xgKDHrPsu,kDDYMcWnqxKaeCct4",gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,6tfvgNd3nKd8e8LPT,purple_4,/experiment/purple_similar/image_04133.jpg,7,/experiment/prop_bars/7.png,3,0,3,3
5sRLrMDBM39Xe4u8Y,3,"Kshxa5s5xgKDHrPsu,kDDYMcWnqxKaeCct4",gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,6tfvgNd3nKd8e8LPT,purple_7,/experiment/purple_similar/image_05355.jpg,6,/experiment/prop_bars/6.png,3,0,3,3
Sz7yhFc62WQrTxiZF,4,"siSL3fpe2yPWc3qDW,YKC6jRDqkFBduXGAE",gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,6tfvgNd3nKd8e8LPT,purple_10,/experiment/purple_similar/image_07320.jpg,2,/experiment/prop_bars/2.png,4,0,4,3
Sz7yhFc62WQrTxiZF,4,"siSL3fpe2yPWc3qDW,YKC6jRDqkFBduXGAE",gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,uxoyB5wDdjQuWKiq3,purple_11,/experiment/purple_similar/image_07517.jpg,10,/experiment/prop_bars/10.png,4,0,4,3
Sz7yhFc62WQrTxiZF,4,"siSL3fpe2yPWc3qDW,YKC6jRDqkFBduXGAE",gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,ab6Htv2wyBH9h4u9G,purple_4,/experiment/purple_similar/image_04133.jpg,9,/experiment/prop_bars/9.png,4,0,4,3
Sz7yhFc62WQrTxiZF,4,"siSL3fpe2yPWc3qDW,YKC6jRDqkFBduXGAE",gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,ab6Htv2wyBH9h4u9G,purple_5,/experiment/purple_similar/image_04335.jpg,7,/experiment/prop_bars/7.png,4,0,4,3
Sz7yhFc62WQrTxiZF,4,"siSL3fpe2yPWc3qDW,YKC6jRDqkFBduXGAE",gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,uxoyB5wDdjQuWKiq3,purple_8,/experiment/purple_similar/image_05639.jpg,6,/experiment/prop_bars/6.png,4,0,4,3
Sz7yhFc62WQrTxiZF,4,"siSL3fpe2yPWc3qDW,YKC6jRDqkFBduXGAE",gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,6tfvgNd3nKd8e8LPT,purple_9,/experiment/purple_similar/image_06714.jpg,4,/experiment/prop_bars/4.png,4,0,4,3
PrrwyzTu4kCZtpdoy,5,"LkjG3JL7BwnfnPDSD,a4t53WZtNwXHsC4Yc",gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,6tfvgNd3nKd8e8LPT,purple_11,/experiment/purple_similar/image_07517.jpg,11,/experiment/prop_bars/11.png,5,0,5,3
PrrwyzTu4kCZtpdoy,5,"LkjG3JL7BwnfnPDSD,a4t53WZtNwXHsC4Yc",gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,ab6Htv2wyBH9h4u9G,purple_12,/experiment/purple_similar/image_07752.jpg,2,/experiment/prop_bars/2.png,5,0,5,3
PrrwyzTu4kCZtpdoy,5,"LkjG3JL7BwnfnPDSD,a4t53WZtNwXHsC4Yc",gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,uxoyB5wDdjQuWKiq3,purple_2,/experiment/purple_similar/image_01664.jpg,9,/experiment/prop_bars/9.png,5,0,5,3
PrrwyzTu4kCZtpdoy,5,"LkjG3JL7BwnfnPDSD,a4t53WZtNwXHsC4Yc",gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,ab6Htv2wyBH9h4u9G,purple_4,/experiment/purple_similar/image_04133.jpg,6,/experiment/prop_bars/6.png,5,0,5,3
PrrwyzTu4kCZtpdoy,5,"LkjG3JL7BwnfnPDSD,a4t53WZtNwXHsC4Yc",gPR99kfXeccf8PeGF,2021-08-19T19:07:11Z,6tfvgNd3nKd8e8LPT,purple_5,/experiment/purple_similar/image_04335.jpg,4,/experiment/prop_bars/4.png,5,0,5,3
