gameId,trialNum,condition,chatEnabled,playerId,name,text,participantAction,roundID,index,createdAt,repNum,blockNum,numPlayers,type,submitted,playerResponse,playerUtility
KiBJ5D2Gb56scHooG,0,coopMulti,TRUE,mQ4j9jv3oBQW9zdxE,Minu,The yellow daisy is the best for me,NA,hE4t5fky4AidN3np3,0,2021-07-20T16:58:33Z,0,0,3,message,FALSE,yellow_3,4.66666666666667
KiBJ5D2Gb56scHooG,0,coopMulti,TRUE,kq9vcpqmQwbkFB4sX,Repi,yekkow bittm middle best for me,NA,hE4t5fky4AidN3np3,0,2021-07-20T16:58:33Z,0,0,3,message,FALSE,yellow_3,4.66666666666667
KiBJ5D2Gb56scHooG,0,coopMulti,TRUE,pgdSEje8fK2EhyEAF,Laju,i'll take the yellow flower with orange on the tips,NA,hE4t5fky4AidN3np3,0,2021-07-20T16:58:33Z,0,0,3,message,FALSE,yellow_1,4.66666666666667
KiBJ5D2Gb56scHooG,0,coopMulti,TRUE,pgdSEje8fK2EhyEAF,Laju,NA,Laju selected yellow_1 for 4.66666666666667 point(s),hE4t5fky4AidN3np3,0,2021-07-20T16:58:33Z,0,0,3,alert,FALSE,yellow_1,4.66666666666667
KiBJ5D2Gb56scHooG,0,coopMulti,TRUE,kq9vcpqmQwbkFB4sX,Repi,NA,Repi selected yellow_3 for 4.66666666666667 point(s),hE4t5fky4AidN3np3,0,2021-07-20T16:58:33Z,0,0,3,alert,FALSE,yellow_3,4.66666666666667
KiBJ5D2Gb56scHooG,0,coopMulti,TRUE,mQ4j9jv3oBQW9zdxE,Minu,The yellow orchid also good. I'll take the daisy one,NA,hE4t5fky4AidN3np3,0,2021-07-20T16:58:33Z,0,0,3,message,FALSE,yellow_3,4.66666666666667
KiBJ5D2Gb56scHooG,0,coopMulti,TRUE,mQ4j9jv3oBQW9zdxE,Minu,NA,Minu selected yellow_3 for 4.66666666666667 point(s),hE4t5fky4AidN3np3,0,2021-07-20T16:58:33Z,0,0,3,alert,FALSE,yellow_3,4.66666666666667
KiBJ5D2Gb56scHooG,1,coopMulti,TRUE,mQ4j9jv3oBQW9zdxE,Minu,NA,Minu selected yellow_12 for 7.66666666666667 point(s),t6PrLYXuzKYcbQvCR,1,2021-07-20T16:58:33Z,1,0,3,alert,FALSE,yellow_12,7.66666666666667
KiBJ5D2Gb56scHooG,1,coopMulti,TRUE,kq9vcpqmQwbkFB4sX,Repi,bottom right is best for me,NA,t6PrLYXuzKYcbQvCR,1,2021-07-20T16:58:33Z,1,0,3,message,FALSE,yellow_5,7.66666666666667
KiBJ5D2Gb56scHooG,1,coopMulti,TRUE,mQ4j9jv3oBQW9zdxE,Minu,Yellow daisy is good,NA,t6PrLYXuzKYcbQvCR,1,2021-07-20T16:58:33Z,1,0,3,message,FALSE,yellow_12,7.66666666666667
